"object","subject","abstract_sub","abstract_obj"
"http://dbpedia.org/resource/Calcium","http://dbpedia.org/resource/Rickets","Rickets is a condition that results in weak or soft bones in children, and is caused by either dietary deficiency or genetic causes. Symptoms include bowed legs, stunted growth, bone pain, large forehead, and trouble sleeping. Complications may include bone deformities, bone pseudofractures and fractures, muscle spasms, or an abnormally curved spine. The most common cause of rickets is a vitamin D deficiency, although hereditary genetic forms also exist. This can result from eating a diet without enough vitamin D, dark skin, too little sun exposure, exclusive breastfeeding without vitamin D supplementation, celiac disease, and certain genetic conditions. Other factors may include not enough calcium or phosphorus. The underlying mechanism involves insufficient calcification of the growth plate. Diagnosis is generally based on blood tests finding a low calcium, low phosphorus, and a high alkaline phosphatase together with X-rays. Prevention for exclusively breastfed babies is vitamin D supplements. Otherwise, treatment depends on the underlying cause. If due to a lack of vitamin D, treatment is usually with vitamin D and calcium. This generally results in improvements within a few weeks. Bone deformities may also improve over time. Occasionally surgery may be performed to correct bone deformities. Genetic forms of the disease typically require specialized treatment. Rickets occurs relatively commonly in the Middle East, Africa, and Asia. It is generally uncommon in the United States and Europe, except among certain minority groups. It begins in childhood, typically between the ages of 3 and 18 months old. Rates of disease are equal in males and females. Cases of what is believed to have been rickets have been described since the 1st century, and the condition was widespread in the Roman Empire. The disease was common into the 20th century. Early treatments included the use of cod liver oil.","Calcium is a chemical element with the symbol Ca and atomic number 20. As an alkaline earth metal, calcium is a reactive metal that forms a dark oxide-nitride layer when exposed to air. Its physical and chemical properties are most similar to its heavier homologues strontium and barium. It is the fifth most abundant element in Earth's crust, and the third most abundant metal, after iron and aluminium. The most common calcium compound on Earth is calcium carbonate, found in limestone and the fossilised remnants of early sea life; gypsum, anhydrite, fluorite, and apatite are also sources of calcium. The name derives from Latin calx ""lime"", which was obtained from heating limestone. Some calcium compounds were known to the ancients, though their chemistry was unknown until the seventeenth century. Pure calcium was isolated in 1808 via electrolysis of its oxide by Humphry Davy, who named the element. Calcium compounds are widely used in many industries: in foods and pharmaceuticals for calcium supplementation, in the paper industry as bleaches, as components in cement and electrical insulators, and in the manufacture of soaps. On the other hand, the metal in pure form has few applications due to its high reactivity; still, in small quantities it is often used as an alloying component in steelmaking, and sometimes, as a calcium–lead alloy, in making automotive batteries. Calcium is the most abundant metal and the fifth-most abundant element in the human body. As electrolytes, calcium ions (Ca2+) play a vital role in the physiological and biochemical processes of organisms and cells: in signal transduction pathways where they act as a second messenger; in neurotransmitter release from neurons; in contraction of all muscle cell types; as cofactors in many enzymes; and in fertilization. Calcium ions outside cells are important for maintaining the potential difference across excitable cell membranes, protein synthesis, and bone formation."
"http://dbpedia.org/resource/Cancer","http://dbpedia.org/resource/Cardiac_tamponade","Cardiac tamponade, also known as pericardial tamponade (/ˌtæm.pəˈneɪd/), is the buildup of fluid in the pericardium (the sac around the heart), resulting in compression of the heart. Onset may be rapid or gradual. Symptoms typically include those of obstructive shock including shortness of breath, weakness, lightheadedness, and cough. Other symptoms may relate to the underlying cause. Common causes of cardiac tamponade include cancer, kidney failure, chest trauma, myocardial infarction, and pericarditis. Other causes include connective tissues diseases, hypothyroidism, aortic rupture, autoimmune disease, and complications of cardiac surgery. In Africa, tuberculosis is a relatively common cause. Diagnosis may be suspected based on low blood pressure, jugular venous distension, or quiet heart sounds (together known as Beck's triad). A pericardial rub may be present in cases due to inflammation. The diagnosis may be further supported by specific electrocardiogram (ECG) changes, chest X-ray, or an ultrasound of the heart. If fluid increases slowly the pericardial sac can expand to contain more than 2 liters; however, if the increase is rapid, as little as 200 mL can result in tamponade. Tamponade is a medical emergency. When it results in symptoms, drainage is necessary. This can be done by pericardiocentesis, surgery to create a pericardial window, or a pericardiectomy. Drainage may also be necessary to rule out infection or cancer. Other treatments may include the use of dobutamine or in those with low blood volume, intravenous fluids. Those with few symptoms and no worrisome features can often be closely followed. The frequency of tamponade is unclear. One estimate from the United States places it at 2 per 10,000 per year.","Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body. These contrast with benign tumors, which do not spread. Possible signs and symptoms include a lump, abnormal bleeding, prolonged cough, unexplained weight loss, and a change in bowel movements. While these symptoms may indicate cancer, they can also have other causes. Over 100 types of cancers affect humans. Tobacco use is the cause of about 22% of cancer deaths. Another 10% are due to obesity, poor diet, lack of physical activity or excessive drinking of alcohol. Other factors include certain infections, exposure to ionizing radiation, and environmental pollutants. In the developing world, 15% of cancers are due to infections such as Helicobacter pylori, hepatitis B, hepatitis C, human papillomavirus infection, Epstein–Barr virus and human immunodeficiency virus (HIV). These factors act, at least partly, by changing the genes of a cell. Typically, many genetic changes are required before cancer develops. Approximately 5–10% of cancers are due to inherited genetic defects. Cancer can be detected by certain signs and symptoms or screening tests. It is then typically further investigated by medical imaging and confirmed by biopsy. The risk of developing certain cancers can be reduced by not smoking, maintaining a healthy weight, limiting alcohol intake, eating plenty of vegetables, fruits, and whole grains, eating resistant starch, vaccination against certain infectious diseases, limiting consumption of processed meat and red meat, and limiting exposure to direct sunlight. Early detection through screening is useful for cervical and colorectal cancer. The benefits of screening for breast cancer are controversial. Cancer is often treated with some combination of radiation therapy, surgery, chemotherapy and targeted therapy. Pain and symptom management are an important part of care. Palliative care is particularly important in people with advanced disease. The chance of survival depends on the type of cancer and extent of disease at the start of treatment. In children under 15 at diagnosis, the five-year survival rate in the developed world is on average 80%. For cancer in the United States, the average five-year survival rate is 66%. In 2015, about 90.5 million people worldwide had cancer. In 2019, annual cancer cases grew by 23.6 million people and there were 10 million deaths worldwide, representing over the previous decade increases of 26% and 21%, respectively. The most common types of cancer in males are lung cancer, prostate cancer, colorectal cancer, and stomach cancer. In females, the most common types are breast cancer, colorectal cancer, lung cancer, and cervical cancer. If skin cancer other than melanoma were included in total new cancer cases each year, it would account for around 40% of cases. In children, acute lymphoblastic leukemia and brain tumors are most common, except in Africa, where non-Hodgkin lymphoma occurs more often. In 2012, about 165,000 children under 15 years of age were diagnosed with cancer. The risk of cancer increases significantly with age, and many cancers occur more commonly in developed countries. Rates are increasing as more people live to an old age and as lifestyle changes occur in the developing world. The global total economic costs of cancer were estimated at US$1.16 trillion per year as of 2010."
"http://dbpedia.org/resource/Cancer","http://dbpedia.org/resource/Hyperandrogenism","Hyperandrogenism is a medical condition characterized by high levels of androgens. It is more common in women than men. Symptoms of hyperandrogenism may include acne, seborrhea (inflamed skin), hair loss on the scalp, increased body or facial hair, and infrequent or absent menstruation. Complications may include high blood cholesterol and diabetes. It occurs in approximately 5% of women of reproductive age. Polycystic ovary syndrome accounts for about 70% of hyperandrogenism cases. Other causes include adrenal hyperplasia, hirsutism, insulin resistance, hyperprolactinemia, Cushing's disease, certain types of cancers, and certain medications. Diagnosis often involves blood tests for testosterone, 17-hydroxyprogesterone, and prolactin, as well as a pelvic ultrasound. Treatment depends on the underlying cause. Symptoms of hyperandrogenism can be treated with birth control pills or antiandrogens, such as cyproterone acetate or spironolactone. Other palliative measures may include hair removal techniques. The earliest known description of the condition is attributed to Hippocrates. In 2011, the International Association of Athletics Federations (now World Athletics) and IOC (International Olympic Committee) released statements restricting the eligibility of female athletes with high testosterone, whether through hyperandrogenism or as a result of a difference in sex development (DSD). These regulations were referred to by both bodies as hyperandrogenism regulations and have led to athletes with DSDs being described as having hyperandrogenism. They were revised in 2019 to focus more specifically on DSDs.","Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body. These contrast with benign tumors, which do not spread. Possible signs and symptoms include a lump, abnormal bleeding, prolonged cough, unexplained weight loss, and a change in bowel movements. While these symptoms may indicate cancer, they can also have other causes. Over 100 types of cancers affect humans. Tobacco use is the cause of about 22% of cancer deaths. Another 10% are due to obesity, poor diet, lack of physical activity or excessive drinking of alcohol. Other factors include certain infections, exposure to ionizing radiation, and environmental pollutants. In the developing world, 15% of cancers are due to infections such as Helicobacter pylori, hepatitis B, hepatitis C, human papillomavirus infection, Epstein–Barr virus and human immunodeficiency virus (HIV). These factors act, at least partly, by changing the genes of a cell. Typically, many genetic changes are required before cancer develops. Approximately 5–10% of cancers are due to inherited genetic defects. Cancer can be detected by certain signs and symptoms or screening tests. It is then typically further investigated by medical imaging and confirmed by biopsy. The risk of developing certain cancers can be reduced by not smoking, maintaining a healthy weight, limiting alcohol intake, eating plenty of vegetables, fruits, and whole grains, eating resistant starch, vaccination against certain infectious diseases, limiting consumption of processed meat and red meat, and limiting exposure to direct sunlight. Early detection through screening is useful for cervical and colorectal cancer. The benefits of screening for breast cancer are controversial. Cancer is often treated with some combination of radiation therapy, surgery, chemotherapy and targeted therapy. Pain and symptom management are an important part of care. Palliative care is particularly important in people with advanced disease. The chance of survival depends on the type of cancer and extent of disease at the start of treatment. In children under 15 at diagnosis, the five-year survival rate in the developed world is on average 80%. For cancer in the United States, the average five-year survival rate is 66%. In 2015, about 90.5 million people worldwide had cancer. In 2019, annual cancer cases grew by 23.6 million people and there were 10 million deaths worldwide, representing over the previous decade increases of 26% and 21%, respectively. The most common types of cancer in males are lung cancer, prostate cancer, colorectal cancer, and stomach cancer. In females, the most common types are breast cancer, colorectal cancer, lung cancer, and cervical cancer. If skin cancer other than melanoma were included in total new cancer cases each year, it would account for around 40% of cases. In children, acute lymphoblastic leukemia and brain tumors are most common, except in Africa, where non-Hodgkin lymphoma occurs more often. In 2012, about 165,000 children under 15 years of age were diagnosed with cancer. The risk of cancer increases significantly with age, and many cancers occur more commonly in developed countries. Rates are increasing as more people live to an old age and as lifestyle changes occur in the developing world. The global total economic costs of cancer were estimated at US$1.16 trillion per year as of 2010."
"http://dbpedia.org/resource/Cancer","http://dbpedia.org/resource/Hypercalcaemia","Hypercalcemia, also spelled hypercalcaemia, is a high calcium (Ca2+) level in the blood serum. The normal range is 2.1–2.6 mmol/L (8.8–10.7 mg/dL, 4.3–5.2 mEq/L), with levels greater than 2.6 mmol/L defined as hypercalcemia. Those with a mild increase that has developed slowly typically have no symptoms. In those with greater levels or rapid onset, symptoms may include abdominal pain, bone pain, confusion, depression, weakness, kidney stones or an abnormal heart rhythm including cardiac arrest. Most outpatient cases are due to primary hyperparathyroidism and inpatient cases due to cancer. Other causes of hypercalcemia include sarcoidosis, tuberculosis, Paget disease, multiple endocrine neoplasia (MEN), vitamin D toxicity, familial hypocalciuric hypercalcaemia and certain medications such as lithium and hydrochlorothiazide. Diagnosis should generally include either a corrected calcium or ionized calcium level and be confirmed after a week. Specific changes, such as a shortened QT interval and prolonged PR interval, may be seen on an electrocardiogram (ECG). Treatment may include intravenous fluids, furosemide, calcitonin, intravenous bisphosphonate, in addition to treating the underlying cause. The evidence for furosemide use, however, is poor. In those with very high levels, hospitalization may be required. Haemodialysis may be used in those who do not respond to other treatments. In those with vitamin D toxicity, steroids may be useful. Hypercalcemia is relatively common. Primary hyperparathyroidism occurs in 1–7 per 1,000 people, and hypercalcaemia occurs in about 2.7% of those with cancer.","Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body. These contrast with benign tumors, which do not spread. Possible signs and symptoms include a lump, abnormal bleeding, prolonged cough, unexplained weight loss, and a change in bowel movements. While these symptoms may indicate cancer, they can also have other causes. Over 100 types of cancers affect humans. Tobacco use is the cause of about 22% of cancer deaths. Another 10% are due to obesity, poor diet, lack of physical activity or excessive drinking of alcohol. Other factors include certain infections, exposure to ionizing radiation, and environmental pollutants. In the developing world, 15% of cancers are due to infections such as Helicobacter pylori, hepatitis B, hepatitis C, human papillomavirus infection, Epstein–Barr virus and human immunodeficiency virus (HIV). These factors act, at least partly, by changing the genes of a cell. Typically, many genetic changes are required before cancer develops. Approximately 5–10% of cancers are due to inherited genetic defects. Cancer can be detected by certain signs and symptoms or screening tests. It is then typically further investigated by medical imaging and confirmed by biopsy. The risk of developing certain cancers can be reduced by not smoking, maintaining a healthy weight, limiting alcohol intake, eating plenty of vegetables, fruits, and whole grains, eating resistant starch, vaccination against certain infectious diseases, limiting consumption of processed meat and red meat, and limiting exposure to direct sunlight. Early detection through screening is useful for cervical and colorectal cancer. The benefits of screening for breast cancer are controversial. Cancer is often treated with some combination of radiation therapy, surgery, chemotherapy and targeted therapy. Pain and symptom management are an important part of care. Palliative care is particularly important in people with advanced disease. The chance of survival depends on the type of cancer and extent of disease at the start of treatment. In children under 15 at diagnosis, the five-year survival rate in the developed world is on average 80%. For cancer in the United States, the average five-year survival rate is 66%. In 2015, about 90.5 million people worldwide had cancer. In 2019, annual cancer cases grew by 23.6 million people and there were 10 million deaths worldwide, representing over the previous decade increases of 26% and 21%, respectively. The most common types of cancer in males are lung cancer, prostate cancer, colorectal cancer, and stomach cancer. In females, the most common types are breast cancer, colorectal cancer, lung cancer, and cervical cancer. If skin cancer other than melanoma were included in total new cancer cases each year, it would account for around 40% of cases. In children, acute lymphoblastic leukemia and brain tumors are most common, except in Africa, where non-Hodgkin lymphoma occurs more often. In 2012, about 165,000 children under 15 years of age were diagnosed with cancer. The risk of cancer increases significantly with age, and many cancers occur more commonly in developed countries. Rates are increasing as more people live to an old age and as lifestyle changes occur in the developing world. The global total economic costs of cancer were estimated at US$1.16 trillion per year as of 2010."
"http://dbpedia.org/resource/Cancer","http://dbpedia.org/resource/Pericarditis","Pericarditis is inflammation of the pericardium, the fibrous sac surrounding the heart. Symptoms typically include sudden onset of sharp chest pain, which may also be felt in the shoulders, neck, or back. The pain is typically less severe when sitting up and more severe when lying down or breathing deeply. Other symptoms of pericarditis can include fever, weakness, palpitations, and shortness of breath. The onset of symptoms can occasionally be gradual rather than sudden. The cause of pericarditis often remains unknown but is believed to be most often due to a viral infection. Other causes include bacterial infections such as tuberculosis, uremic pericarditis, heart attack, cancer, autoimmune disorders, and chest trauma. Diagnosis is based on the presence of chest pain, a pericardial rub, specific electrocardiogram (ECG) changes, and fluid around the heart. A heart attack may produce similar symptoms to pericarditis. Treatment in most cases is with NSAIDs and possibly the anti-inflammatory medication colchicine. Steroids may be used if these are not appropriate. Symptoms usually improve in a few days to weeks but can occasionally last months. Complications can include cardiac tamponade, myocarditis, and constrictive pericarditis. Pericarditis is an uncommon cause of chest pain. About 3 per 10,000 people are affected per year. Those most commonly affected are males between the ages of 20 and 50. Up to 30% of those affected have more than one episode.","Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body. These contrast with benign tumors, which do not spread. Possible signs and symptoms include a lump, abnormal bleeding, prolonged cough, unexplained weight loss, and a change in bowel movements. While these symptoms may indicate cancer, they can also have other causes. Over 100 types of cancers affect humans. Tobacco use is the cause of about 22% of cancer deaths. Another 10% are due to obesity, poor diet, lack of physical activity or excessive drinking of alcohol. Other factors include certain infections, exposure to ionizing radiation, and environmental pollutants. In the developing world, 15% of cancers are due to infections such as Helicobacter pylori, hepatitis B, hepatitis C, human papillomavirus infection, Epstein–Barr virus and human immunodeficiency virus (HIV). These factors act, at least partly, by changing the genes of a cell. Typically, many genetic changes are required before cancer develops. Approximately 5–10% of cancers are due to inherited genetic defects. Cancer can be detected by certain signs and symptoms or screening tests. It is then typically further investigated by medical imaging and confirmed by biopsy. The risk of developing certain cancers can be reduced by not smoking, maintaining a healthy weight, limiting alcohol intake, eating plenty of vegetables, fruits, and whole grains, eating resistant starch, vaccination against certain infectious diseases, limiting consumption of processed meat and red meat, and limiting exposure to direct sunlight. Early detection through screening is useful for cervical and colorectal cancer. The benefits of screening for breast cancer are controversial. Cancer is often treated with some combination of radiation therapy, surgery, chemotherapy and targeted therapy. Pain and symptom management are an important part of care. Palliative care is particularly important in people with advanced disease. The chance of survival depends on the type of cancer and extent of disease at the start of treatment. In children under 15 at diagnosis, the five-year survival rate in the developed world is on average 80%. For cancer in the United States, the average five-year survival rate is 66%. In 2015, about 90.5 million people worldwide had cancer. In 2019, annual cancer cases grew by 23.6 million people and there were 10 million deaths worldwide, representing over the previous decade increases of 26% and 21%, respectively. The most common types of cancer in males are lung cancer, prostate cancer, colorectal cancer, and stomach cancer. In females, the most common types are breast cancer, colorectal cancer, lung cancer, and cervical cancer. If skin cancer other than melanoma were included in total new cancer cases each year, it would account for around 40% of cases. In children, acute lymphoblastic leukemia and brain tumors are most common, except in Africa, where non-Hodgkin lymphoma occurs more often. In 2012, about 165,000 children under 15 years of age were diagnosed with cancer. The risk of cancer increases significantly with age, and many cancers occur more commonly in developed countries. Rates are increasing as more people live to an old age and as lifestyle changes occur in the developing world. The global total economic costs of cancer were estimated at US$1.16 trillion per year as of 2010."
"http://dbpedia.org/resource/Cannabis_(drug)","http://dbpedia.org/resource/Psychosis","Psychosis is a condition of the mind that results in difficulties determining what is real and what is not real. Symptoms may include delusions and hallucinations, among other features. Additional symptoms are incoherent speech and behavior that is inappropriate for a given situation. There may also be sleep problems, social withdrawal, lack of motivation, and difficulties carrying out daily activities. Psychosis can have serious adverse outcomes. As with many psychiatric phenomena, psychosis has several different causes. These include mental illness, such as schizophrenia or schizoaffective disorder, bipolar disorder, sensory deprivation and in rare cases, major depression (psychotic depression). Other causes include: trauma, sleep deprivation, some medical conditions, certain medications, and drugs such as cannabis, hallucinogens, and stimulants. One type, known as postpartum psychosis, can occur after giving birth. The neurotransmitter dopamine is believed to play an important role. Acute psychosis is considered primary if it results from a psychiatric condition and secondary if it is caused by a medical condition or drugs. The diagnosis of a mental health condition requires excluding other potential causes. Testing may be done to check for central nervous system diseases, toxins, or other health problems as a cause. Treatment may include antipsychotic medication, psychotherapy, and social support. Early treatment appears to improve outcomes. Medications appear to have a moderate effect. Outcomes depend on the underlying cause. In the United States about 3% of people develop psychosis at some point in their lives. The condition has been described since at least the 4th century BCE by Hippocrates and possibly as early as 1500 BCE in the Egyptian Ebers Papyrus.","Cannabis, also known as marijuana among other names, is a psychoactive drug from the cannabis plant. Native to Central or South Asia, the cannabis plant has been used as a drug for both recreational and entheogenic purposes and in various traditional medicines for centuries. Tetrahydrocannabinol (THC) is the main psychoactive component of cannabis, which is one of the 483 known compounds in the plant, including at least 65 other cannabinoids, such as cannabidiol (CBD). Cannabis can be used by smoking, vaporizing, within food, or as an extract. Cannabis has various mental and physical effects, which include euphoria, altered states of mind and sense of time, difficulty concentrating, impaired short-term memory, impaired body movement (balance and fine psychomotor control), relaxation, and an increase in appetite. Onset of effects is felt within minutes when smoked, but may take up to 90 minutes when eaten. The effects last for two to six hours, depending on the amount used. At high doses, mental effects can include anxiety, delusions (including ideas of reference), hallucinations, panic, paranoia, and psychosis. There is a strong relation between cannabis use and the risk of psychosis, though the direction of causality is debated. Physical effects include increased heart rate, difficulty breathing, nausea, and behavioral problems in children whose mothers used cannabis during pregnancy; short-term side effects may also include dry mouth and red eyes. Long-term adverse effects may include addiction, decreased mental ability in those who started regular use as adolescents, chronic coughing, susceptibility to respiratory infections, and cannabinoid hyperemesis syndrome. Cannabis is mostly used recreationally or as a medicinal drug, although it may also be used for spiritual purposes. In 2013, between 128 and 232 million people used cannabis (2.7% to 4.9% of the global population between the ages of 15 and 65). It is the most commonly used largely-illegal drug in the world, with the highest use among adults in Zambia, the United States, Canada, and Nigeria, as of 2018. While cannabis plants have been grown since at least the 3rd millennium BCE, evidence suggests that it was being smoked for psychoactive effects at least 2,500 years ago in the Pamir Mountains, Asia. Since the 14th century, cannabis has been subject to legal restrictions. The possession, use, and cultivation of cannabis has been illegal in most countries since the 20th century. In 2013, Uruguay became the first country to legalize recreational use of cannabis. Other countries to do so are Canada, Georgia, Malta, Mexico, South Africa, and Thailand. In the U.S., the recreational use of cannabis is legalized in 21 states, two territories, and the District of Columbia, though the drug remains federally illegal. In Australia, is legalized only in the Australian Capital Territory."
"http://dbpedia.org/resource/Cataract_surgery","http://dbpedia.org/resource/Aniseikonia","Aniseikonia is an ocular condition where there is a significant difference in the perceived size of images. It can occur as an overall difference between the two eyes, or as a difference in a particular meridian. If the ocular image size in both eyes are equal, the condition is known as iseikonia.","Cataract surgery, also called lens replacement surgery, is the removal of the natural lens of the eye (also called ""crystalline lens"") that has developed an opacification, which is referred to as a cataract, and its replacement with an intraocular lens. Metabolic changes of the crystalline lens fibers over time lead to the development of the cataract, causing impairment or loss of vision. Some infants are born with congenital cataracts, and certain environmental factors may also lead to cataract formation. Early symptoms may include strong glare from lights and small light sources at night, and reduced acuity at low light levels. During cataract surgery, a patient's cloudy natural cataract lens is removed, either by emulsification in place or by cutting it out. An artificial intraocular lens (IOL) is implanted in its place. Cataract surgery is generally performed by an ophthalmologist in an ambulatory setting at a surgical center or hospital rather than an inpatient setting. Either topical, sub-tenon, peribulbar, or retrobulbar local anesthesia is used, usually causing little or no discomfort to the patient. Well over 90% of operations are successful in restoring useful vision, with a low complication rate. Day care, high volume, minimally invasive, small incision phacoemulsification with quick post-op recovery has become the standard of care in cataract surgery all over the world."
"http://dbpedia.org/resource/Sarcoidosis","http://dbpedia.org/resource/Hypercalcaemia","Hypercalcemia, also spelled hypercalcaemia, is a high calcium (Ca2+) level in the blood serum. The normal range is 2.1–2.6 mmol/L (8.8–10.7 mg/dL, 4.3–5.2 mEq/L), with levels greater than 2.6 mmol/L defined as hypercalcemia. Those with a mild increase that has developed slowly typically have no symptoms. In those with greater levels or rapid onset, symptoms may include abdominal pain, bone pain, confusion, depression, weakness, kidney stones or an abnormal heart rhythm including cardiac arrest. Most outpatient cases are due to primary hyperparathyroidism and inpatient cases due to cancer. Other causes of hypercalcemia include sarcoidosis, tuberculosis, Paget disease, multiple endocrine neoplasia (MEN), vitamin D toxicity, familial hypocalciuric hypercalcaemia and certain medications such as lithium and hydrochlorothiazide. Diagnosis should generally include either a corrected calcium or ionized calcium level and be confirmed after a week. Specific changes, such as a shortened QT interval and prolonged PR interval, may be seen on an electrocardiogram (ECG). Treatment may include intravenous fluids, furosemide, calcitonin, intravenous bisphosphonate, in addition to treating the underlying cause. The evidence for furosemide use, however, is poor. In those with very high levels, hospitalization may be required. Haemodialysis may be used in those who do not respond to other treatments. In those with vitamin D toxicity, steroids may be useful. Hypercalcemia is relatively common. Primary hyperparathyroidism occurs in 1–7 per 1,000 people, and hypercalcaemia occurs in about 2.7% of those with cancer.","Sarcoidosis (also known as Besnier-Boeck-Schaumann disease) is a disease involving abnormal collections of inflammatory cells that form lumps known as granulomata. The disease usually begins in the lungs, skin, or lymph nodes. Less commonly affected are the eyes, liver, heart, and brain. Any organ can be affected though. The signs and symptoms depend on the organ involved. Often, no, or only mild, symptoms are seen. When it affects the lungs, wheezing, coughing, shortness of breath, or chest pain may occur. Some may have Löfgren syndrome with fever, large lymph nodes, arthritis, and a rash known as erythema nodosum. The cause of sarcoidosis is unknown. Some believe it may be due to an immune reaction to a trigger such as an infection or chemicals in those who are genetically predisposed. Those with affected family members are at greater risk. Diagnosis is partly based on signs and symptoms, which may be supported by biopsy. Findings that make it likely include large lymph nodes at the root of the lung on both sides, high blood calcium with a normal parathyroid hormone level, or elevated levels of angiotensin-converting enzyme in the blood. The diagnosis should only be made after excluding other possible causes of similar symptoms such as tuberculosis. Sarcoidosis may resolve without any treatment within a few years. However, some people may have long-term or severe disease. Some symptoms may be improved with the use of anti-inflammatory drugs such as ibuprofen. In cases where the condition causes significant health problems, steroids such as prednisone are indicated. Medications such as methotrexate, chloroquine, or azathioprine may occasionally be used in an effort to decrease the side effects of steroids. The risk of death is 1–7%. The chance of the disease returning in someone who has had it previously is less than 5%. In 2015, pulmonary sarcoidosis and interstitial lung disease affected 1.9 million people globally and they resulted in 122,000 deaths. It is most common in Scandinavians, but occurs in all parts of the world. In the United States, risk is greater among black people as opposed to white people. It usually begins between the ages of 20 and 50. It occurs more often in women than men. Sarcoidosis was first described in 1877 by the English doctor Jonathan Hutchinson as a non-painful skin disease."
"http://dbpedia.org/resource/Environmental_factor","http://dbpedia.org/resource/Neoplasm","A neoplasm (/ˈniː.oʊˌplæzəm, ˈniː.ə-/) is a type of abnormal and excessive growth of tissue. The process that occurs to form or produce a neoplasm is called neoplasia. The growth of a neoplasm is uncoordinated with that of the normal surrounding tissue, and persists in growing abnormally, even if the original trigger is removed. This abnormal growth usually forms a mass, when it may be called a tumor. ICD-10 classifies neoplasms into four main groups: benign neoplasms, in situ neoplasms, malignant neoplasms, and neoplasms of uncertain or unknown behavior. Malignant neoplasms are also simply known as cancers and are the focus of oncology. Prior to the abnormal growth of tissue, as neoplasia, cells often undergo an abnormal pattern of growth, such as metaplasia or dysplasia. However, metaplasia or dysplasia does not always progress to neoplasia and can occur in other conditions as well. The word is from Ancient Greek νέος- neo 'new' and πλάσμα plasma 'formation, creation'.","An environmental factor, ecological factor or eco factor is any factor, abiotic or biotic, that influences living organisms. Abiotic factors include ambient temperature, amount of sunlight, and pH of the water soil in which an organism lives. Biotic factors would include the availability of food organisms and the presence of biological specificity, competitors, predators, and parasites."
"http://dbpedia.org/resource/Environmental_factor","http://dbpedia.org/resource/Bipolar_disorder","Bipolar disorder, previously known as manic depression, is a mental disorder characterized by periods of depression and periods of abnormally elevated mood that last from days to weeks each. If the elevated mood is severe or associated with psychosis, it is called mania; if it is less severe, it is called hypomania. During mania, an individual behaves or feels abnormally energetic, happy or irritable, and they often make impulsive decisions with little regard for the consequences. There is usually also a reduced need for sleep during manic phases. During periods of depression, the individual may experience crying and have a negative outlook on life and poor eye contact with others. The risk of suicide is high; over a period of 20 years, 6% of those with bipolar disorder died by suicide, while 30–40% engaged in self-harm. Other mental health issues, such as anxiety disorders and substance use disorders, are commonly associated with bipolar disorder. While the causes of this mood disorder are not clearly understood, both genetic and environmental factors are thought to play a role. Many genes, each with small effects, may contribute to the development of the disorder. Genetic factors account for about 70–90% of the risk of developing bipolar disorder. Environmental risk factors include a history of childhood abuse and long-term stress. The condition is classified as bipolar I disorder if there has been at least one manic episode, with or without depressive episodes, and as bipolar II disorder if there has been at least one hypomanic episode (but no full manic episodes) and one major depressive episode. It is classified as Cyclothymia if there are hypomanic episodes with periods of depression that do not meet the criteria for major depressive episodes.If these symptoms are due to drugs or medical problems, they are not diagnosed as bipolar disorder. Other conditions that have overlapping symptoms with bipolar disorder include attention deficit hyperactivity disorder, personality disorders, schizophrenia, and substance use disorder as well as many other medical conditions. Medical testing is not required for a diagnosis, though blood tests or medical imaging can rule out other problems. Mood stabilizers—lithium and certain anticonvulsants such as valproate and carbamazepine as well as atypical antipsychotics such as aripiprazole—are the mainstay of long-term pharmacologic relapse prevention. Antipsychotics are additionally given during acute manic episodes as well as in cases where mood stabilizers are poorly tolerated or ineffective. In patients where compliance is of concern, long-acting injectable formulations are available. There is some evidence that psychotherapy improves the course of this disorder. The use of antidepressants in depressive episodes is controversial: they can be effective but have been implicated in triggering manic episodes. The treatment of depressive episodes, therefore, is often difficult. Electroconvulsive therapy (ECT) is effective in acute manic and depressive episodes, especially with psychosis or catatonia. Admission to a psychiatric hospital may be required if a person is a risk to themselves or others; involuntary treatment is sometimes necessary if the affected person refuses treatment. Bipolar disorder occurs in approximately 1% of the global population. In the United States, about 3% are estimated to be affected at some point in their life; rates appear to be similar in females and males. Symptoms most commonly begin between the ages of 20 and 25 years old; an earlier onset in life is associated with a worse prognosis. Interest in functioning in the assessment of patients with bipolar disorder is growing, with an emphasis on specific domains such as work, education, social life, family, and cognition. Around one-quarter to one-third of people with bipolar disorder have financial, social or work-related problems due to the illness. Bipolar disorder is among the top 20 causes of disability worldwide and leads to substantial costs for society. Due to lifestyle choices and the side effects of medications, the risk of death from natural causes such as coronary heart disease in people with bipolar disorder is twice that of the general population.","An environmental factor, ecological factor or eco factor is any factor, abiotic or biotic, that influences living organisms. Abiotic factors include ambient temperature, amount of sunlight, and pH of the water soil in which an organism lives. Biotic factors would include the availability of food organisms and the presence of biological specificity, competitors, predators, and parasites."
